tiempo_s,q_low_gs_con_preinfusion,q_high_gs_con_preinfusion
0.0,0.0,0.0
0.1,0.01,0.0183
0.2,0.02,0.0367
0.3,0.03,0.055
0.4,0.04,0.0733
0.5,0.05,0.0917
0.6,0.06,0.11
0.7,0.07,0.1283
0.8,0.08,0.1467
0.9,0.09,0.165
1.0,0.1,0.1833
1.1,0.11,0.2017
1.2,0.12,0.22
1.3,0.13,0.2383
1.4,0.14,0.2567
1.5,0.15,0.275
1.6,0.16,0.2933
1.7,0.17,0.3117
1.8,0.18,0.33
1.9,0.19,0.3483
2.0,0.2,0.3667
2.1,0.21,0.385
2.2,0.22,0.4033
2.3,0.23,0.4217
2.4,0.24,0.44
2.5,0.25,0.4583
2.6,0.26,0.4767
2.7,0.27,0.495
2.8,0.28,0.5133
2.9,0.29,0.5317
3.0,0.3,0.55
3.1,0.31,0.5683
3.2,0.32,0.5867
3.3,0.33,0.605
3.4,0.34,0.6233
3.5,0.35,0.6417
3.6,0.36,0.66
3.7,0.37,0.6783
3.8,0.38,0.6967
3.9,0.39,0.715
4.0,0.4,0.7333
4.1,0.41,0.7517
4.2,0.42,0.77
4.3,0.43,0.7883
4.4,0.44,0.8067
4.5,0.45,0.825
4.6,0.46,0.8433
4.7,0.47,0.8617
4.8,0.48,0.88
4.9,0.49,0.8983
5.0,0.5,0.9167
5.1,0.51,0.935
5.2,0.52,0.9533
5.3,0.53,0.9717
5.4,0.54,0.99
5.5,0.55,1.0083
5.6,0.56,1.0267
5.7,0.57,1.045
5.8,0.58,1.0633
5.9,0.59,1.0817
6.0,0.6,1.1
6.1,0.6057,1.1079
6.2,0.6114,1.1157
6.3,0.6171,1.1236
6.4,0.6229,1.1314
6.5,0.6286,1.1393
6.6,0.6343,1.1471
6.7,0.64,1.155
6.8,0.6457,1.1629
6.9,0.6514,1.1707
7.0,0.6571,1.1786
7.1,0.6629,1.1864
7.2,0.6686,1.1943
7.3,0.6743,1.2021
7.4,0.68,1.21
7.5,0.6857,1.2179
7.6,0.6914,1.2257
7.7,0.6971,1.2336
7.8,0.7029,1.2414
7.9,0.7086,1.2493
8.0,0.7143,1.2571
8.1,0.72,1.265
8.2,0.7257,1.2729
8.3,0.7314,1.2807
8.4,0.7371,1.2886
8.5,0.7429,1.2964
8.6,0.7486,1.3043
8.7,0.7543,1.3121
8.8,0.76,1.32
8.9,0.7657,1.3279
9.0,0.7714,1.3357
9.1,0.7771,1.3436
9.2,0.7829,1.3514
9.3,0.7886,1.3593
9.4,0.7943,1.3671
9.5,0.8,1.375
9.6,0.8057,1.3829
9.7,0.8114,1.3907
9.8,0.8171,1.3986
9.9,0.8229,1.4064
10.0,0.8286,1.4143
10.1,0.8343,1.4221
10.2,0.84,1.43
10.3,0.8457,1.4379
10.4,0.8514,1.4457
10.5,0.8571,1.4536
10.6,0.8629,1.4614
10.7,0.8686,1.4693
10.8,0.8743,1.4771
10.9,0.88,1.485
11.0,0.8857,1.4929
11.1,0.8914,1.5007
11.2,0.8971,1.5086
11.3,0.9029,1.5164
11.4,0.9086,1.5243
11.5,0.9143,1.5321
11.6,0.92,1.54
11.7,0.9257,1.5479
11.8,0.9314,1.5557
11.9,0.9371,1.5636
12.0,0.9429,1.5714
12.1,0.9486,1.5793
12.2,0.9543,1.5871
12.3,0.96,1.595
12.4,0.9657,1.6029
12.5,0.9714,1.6107
12.6,0.9771,1.6186
12.7,0.9829,1.6264
12.8,0.9886,1.6343
12.9,0.9943,1.6421
13.0,1.0,1.65
13.1,1.0057,1.6579
13.2,1.0114,1.6657
13.3,1.0171,1.6736
13.4,1.0229,1.6814
13.5,1.0286,1.6893
13.6,1.0343,1.6971
13.7,1.04,1.705
13.8,1.0457,1.7129
13.9,1.0514,1.7207
14.0,1.0571,1.7286
14.1,1.0629,1.7364
14.2,1.0686,1.7443
14.3,1.0743,1.7521
14.4,1.08,1.76
14.5,1.0857,1.7679
14.6,1.0914,1.7757
14.7,1.0971,1.7836
14.8,1.1029,1.7914
14.9,1.1086,1.7993
15.0,1.1143,1.8071
15.1,1.12,1.815
15.2,1.1257,1.8229
15.3,1.1314,1.8307
15.4,1.1371,1.8386
15.5,1.1429,1.8464
15.6,1.1486,1.8543
15.7,1.1543,1.8621
15.8,1.16,1.87
15.9,1.1657,1.8779
16.0,1.1714,1.8857
16.1,1.1771,1.8936
16.2,1.1829,1.9014
16.3,1.1886,1.9093
16.4,1.1943,1.9171
16.5,1.2,1.925
16.6,1.2057,1.9329
16.7,1.2114,1.9407
16.8,1.2171,1.9486
16.9,1.2229,1.9564
17.0,1.2286,1.9643
17.1,1.2343,1.9721
17.2,1.24,1.98
17.3,1.2457,1.9879
17.4,1.2514,1.9957
17.5,1.2571,2.0036
17.6,1.2629,2.0114
17.7,1.2686,2.0193
17.8,1.2743,2.0271
17.9,1.28,2.035
18.0,1.2857,2.0429
18.1,1.2914,2.0507
18.2,1.2971,2.0586
18.3,1.3029,2.0664
18.4,1.3086,2.0743
18.5,1.3143,2.0821
18.6,1.32,2.09
18.7,1.3257,2.0979
18.8,1.3314,2.1057
18.9,1.3371,2.1136
19.0,1.3429,2.1214
19.1,1.3486,2.1293
19.2,1.3543,2.1371
19.3,1.36,2.145
19.4,1.3657,2.1529
19.5,1.3714,2.1607
19.6,1.3771,2.1686
19.7,1.3829,2.1764
19.8,1.3886,2.1843
19.9,1.3943,2.1921
20.0,1.4,2.2
20.1,1.3933,2.1967
20.2,1.3867,2.1933
20.3,1.38,2.19
20.4,1.3733,2.1867
20.5,1.3667,2.1833
20.6,1.36,2.18
20.7,1.3533,2.1767
20.8,1.3467,2.1733
20.9,1.34,2.17
21.0,1.3333,2.1667
21.1,1.3267,2.1633
21.2,1.32,2.16
21.3,1.3133,2.1567
21.4,1.3067,2.1533
21.5,1.3,2.15
21.6,1.2933,2.1467
21.7,1.2867,2.1433
21.8,1.28,2.14
21.9,1.2733,2.1367
22.0,1.2667,2.1333
22.1,1.26,2.13
22.2,1.2533,2.1267
22.3,1.2467,2.1233
22.4,1.24,2.12
22.5,1.2333,2.1167
22.6,1.2267,2.1133
22.7,1.22,2.11
22.8,1.2133,2.1067
22.9,1.2067,2.1033
23.0,1.2,2.1
23.1,1.1933,2.0967
23.2,1.1867,2.0933
23.3,1.18,2.09
23.4,1.1733,2.0867
23.5,1.1667,2.0833
23.6,1.16,2.08
23.7,1.1533,2.0767
23.8,1.1467,2.0733
23.9,1.14,2.07
24.0,1.1333,2.0667
24.1,1.1267,2.0633
24.2,1.12,2.06
24.3,1.1133,2.0567
24.4,1.1067,2.0533
24.5,1.1,2.05
24.6,1.0933,2.0467
24.7,1.0867,2.0433
24.8,1.08,2.04
24.9,1.0733,2.0367
25.0,1.0667,2.0333
25.1,1.06,2.03
25.2,1.0533,2.0267
25.3,1.0467,2.0233
25.4,1.04,2.02
25.5,1.0333,2.0167
25.6,1.0267,2.0133
25.7,1.02,2.01
25.8,1.0133,2.0067
25.9,1.0067,2.0033
26.0,1.0,2.0
26.1,0.995,1.995
26.2,0.99,1.99
26.3,0.985,1.985
26.4,0.98,1.98
26.5,0.975,1.975
26.6,0.97,1.97
26.7,0.965,1.965
26.8,0.96,1.96
26.9,0.955,1.955
27.0,0.95,1.95
27.1,0.945,1.945
27.2,0.94,1.94
27.3,0.935,1.935
27.4,0.93,1.93
27.5,0.925,1.925
27.6,0.92,1.92
27.7,0.915,1.915
27.8,0.91,1.91
27.9,0.905,1.905
28.0,0.9,1.9
28.1,0.895,1.895
28.2,0.89,1.89
28.3,0.885,1.885
28.4,0.88,1.88
28.5,0.875,1.875
28.6,0.87,1.87
28.7,0.865,1.865
28.8,0.86,1.86
28.9,0.855,1.855
29.0,0.85,1.85
29.1,0.845,1.845
29.2,0.84,1.84
29.3,0.835,1.835
29.4,0.83,1.83
29.5,0.825,1.825
29.6,0.82,1.82
29.7,0.815,1.815
29.8,0.81,1.81
29.9,0.805,1.805
30.0,0.8,1.8
